Team1,Team2,Status,Match_Type,Scorecard_url
England,New Zealand,New Zealand won by 9 wickets (with 82 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-new-zealand-1st-match-1384392/full-scorecard
Pakistan,Netherlands,Pakistan won by 81 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-pakistan-2nd-match-1384393/full-scorecard
Afghanistan,Bangladesh,Bangladesh won by 6 wickets (with 92 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-bangladesh-3rd-match-1384394/full-scorecard
South Africa,Sri Lanka,South Africa won by 102 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/south-africa-vs-sri-lanka-4th-match-1384395/full-scorecard
Australia,India,India won by 6 wickets (with 52 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-australia-5th-match-1384396/full-scorecard
New Zealand,Netherlands,New Zealand won by 99 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-new-zealand-6th-match-1384397/full-scorecard
England,Bangladesh,England won by 137 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-england-7th-match-1384398/full-scorecard
Sri Lanka,Pakistan,Pakistan won by 6 wickets (with 10 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/pakistan-vs-sri-lanka-8th-match-1384399/full-scorecard
Afghanistan,India,India won by 8 wickets (with 90 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-afghanistan-9th-match-1384400/full-scorecard
South Africa,Australia,South Africa won by 134 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-south-africa-10th-match-1384401/full-scorecard
Bangladesh,New Zealand,New Zealand won by 8 wickets (with 43 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/bangladesh-vs-new-zealand-11th-match-1384402/full-scorecard
Pakistan,India,India won by 7 wickets (with 117 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-pakistan-12th-match-1384403/full-scorecard
Afghanistan,England,Afghanistan won by 69 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-england-13th-match-1384404/full-scorecard
Sri Lanka,Australia,Australia won by 5 wickets (with 88 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-sri-lanka-14th-match-1384405/full-scorecard
Netherlands,South Africa,Netherlands won by 38 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-south-africa-15th-match-1384406/full-scorecard
New Zealand,Afghanistan,New Zealand won by 149 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/afghanistan-vs-new-zealand-16th-match-1384407/full-scorecard
Bangladesh,India,India won by 7 wickets (with 51 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/india-vs-bangladesh-17th-match-1384408/full-scorecard
Australia,Pakistan,Australia won by 62 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/australia-vs-pakistan-18th-match-1384409/full-scorecard
Netherlands,Sri Lanka,Sri Lanka won by 5 wickets (with 10 balls remaining),2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/netherlands-vs-sri-lanka-19th-match-1384410/full-scorecard
South Africa,England,South Africa won by 229 runs,2,https://www.espncricinfo.com/series/icc-cricket-world-cup-2023-24-1367856/england-vs-south-africa-20th-match-1384411/full-scorecard
